fname,aff/tps/homo,t1(A11/H11),t2(A12/H12),t3(A13/H13),t4(A21/H21),t5(A22/H22),t6(A23/H23),t7(H31),t8(H32),t9(H33),t10,t11,t12,t13,t14,t15,t16,t17,t18
original_images/train/blackberry/0.jpg,2,0.6731126701,-0.6629439022,183.5786196081,0.1327733643,0.1436461775,83.1345029462,0.0003933391,-0.0015279956,1,0,0,0,0,0,0,0,0,0
original_images/train/blackberry/1.jpg,2,1.5336422008,0.5972154485,-276.0394700104,-0.4879810162,1.3253149865,158.853389852,0.0004318827,0.0003644978,1,0,0,0,0,0,0,0,0,0
original_images/train/blackberry/10.jpg,2,0.2346296014,-0.1089123061,188.1781543026,-0.0474447509,0.7251289408,-33.9906543026,-0.000995517,6.58709982371267E-06,1,0,0,0,0,0,0,0,0,0
original_images/train/blackberry/100.jpg,2,49.622311828,3.9342188488,-8393.4971537,19.918485136,34.0354206199,-7996.5445920302,0.0508380772,0.0316255534,1,0,0,0,0,0,0,0,0,0
original_images/train/blackberry/1000.jpg,2,0.7689353529,-0.2492112233,14.1936817318,-0.0239739262,0.4564080927,26.9660461852,-3.36333341045529E-05,-0.0011123636,1,0,0,0,0,0,0,0,0,0
original_images/train/blackberry/1001.jpg,2,0.4931704724,-0.6170245139,233.6641860035,0.113519229,0.461557425,-3.1139410188,-0.00019645,-0.0009360266,1,0,0,0,0,0,0,0,0,0
original_images/train/blackberry/1002.jpg,2,0.2807059463,1.0671522995,-60.6596407613,-0.6204311969,1.9592633419,33.8519589915,-0.0018831147,0.0025221471,1,0,0,0,0,0,0,0,0,0
original_images/train/blackberry/1003.jpg,1,-0.9369689991,-0.5738521657,-1.0552006995,0.0440704649,-0.2196001402,-0.1844631012,0.8562896445,1.0144775788,1.4054710025,-1.3551904127,0.0284769538,1.2457772831,-0.6915481276,0.2774133684,1.1668974964,-1.1726987644,-0.1016077159,0.9681923118
original_images/train/blackberry/1004.jpg,2,0.7577918733,1.23214167,-133.3464765713,-0.0989647768,2.5026230537,-260.8240742092,-0.0012100529,0.0026262965,1,0,0,0,0,0,0,0,0,0
original_images/train/blackberry/1005.jpg,0,0.7679666877,0.2114562243,-0.0693427399,-0.1340937018,1.2039010525,0.1111128107,0,0,0,0,0,0,0,0,0,0,0,0
